time,pedestrians,bicyclists,cars,buses,trucks
2019-11-01T00:00:00-04:00,194,4,16,0,0
2019-11-02T00:00:00-04:00,83,0,0,0,0
2019-11-03T00:00:00-04:00,97,0,24,0,0
2019-11-04T00:00:00-04:00,10,0,2,0,0
2019-11-05T00:00:00-04:00,0,0,0,0,0
2019-11-06T00:00:00-04:00,0,0,0,0,0
2019-11-07T00:00:00-04:00,0,0,0,0,0
2019-11-08T00:00:00-04:00,9,0,8,0,0
2019-11-09T00:00:00-04:00,0,0,0,0,0
2019-11-10T00:00:00-04:00,0,0,0,0,0
2019-11-11T00:00:00-04:00,0,0,0,0,0
2019-11-12T00:00:00-04:00,0,0,0,0,0
2019-11-13T00:00:00-04:00,0,0,0,0,0
2019-11-14T00:00:00-04:00,0,0,0,0,0
2019-11-15T00:00:00-04:00,0,0,0,0,0
2019-11-16T00:00:00-04:00,0,0,0,0,0
2019-11-17T00:00:00-04:00,0,0,0,0,0
2019-11-18T00:00:00-04:00,0,0,0,0,0
2019-11-19T00:00:00-04:00,0,0,0,0,0
2019-11-20T00:00:00-04:00,0,0,0,0,0
2019-11-21T00:00:00-04:00,0,0,0,0,0
2019-11-22T00:00:00-04:00,130,0,24,0,0
2019-11-23T00:00:00-04:00,189,0,14,0,0
2019-11-24T00:00:00-04:00,129,0,20,0,0
2019-11-25T00:00:00-04:00,58,0,106,0,0
2019-11-26T00:00:00-04:00,85,0,32,0,0
2019-11-27T00:00:00-04:00,62,0,18,0,6
2019-11-28T00:00:00-04:00,22,0,87,0,0
2019-11-29T00:00:00-04:00,42,0,12,1,1
2019-11-30T00:00:00-04:00,93,0,16,0,0
2019-12-01T00:00:00-04:00,138,0,19,0,9
2019-12-02T00:00:00-04:00,48,0,82,0,14
2019-12-03T00:00:00-04:00,9,0,3,0,0
2019-12-04T00:00:00-04:00,8,0,1,0,0
2019-12-05T00:00:00-04:00,84,0,1,0,0
2019-12-06T00:00:00-04:00,0,0,0,0,0
2019-12-07T00:00:00-04:00,0,0,0,0,0
2019-12-08T00:00:00-04:00,0,0,0,0,0
2019-12-09T00:00:00-04:00,0,0,0,0,0
2019-12-10T00:00:00-04:00,0,0,0,0,0
2019-12-11T00:00:00-04:00,0,0,0,0,0
2019-12-12T00:00:00-04:00,0,0,0,0,0
2019-12-13T00:00:00-04:00,0,0,0,0,0
2019-12-14T00:00:00-04:00,0,0,0,0,0
2019-12-15T00:00:00-04:00,0,0,0,0,0
2019-12-16T00:00:00-04:00,0,0,0,0,0
2019-12-17T00:00:00-04:00,0,0,0,0,0
2019-12-18T00:00:00-04:00,0,0,0,0,0
2019-12-19T00:00:00-04:00,0,0,0,0,0
2019-12-20T00:00:00-04:00,0,0,0,0,0
2019-12-21T00:00:00-04:00,0,0,0,0,0
2019-12-22T00:00:00-04:00,0,0,0,0,0
2019-12-23T00:00:00-04:00,0,0,0,0,0
2019-12-24T00:00:00-04:00,0,0,0,0,0
2019-12-25T00:00:00-04:00,0,0,0,0,0
2019-12-26T00:00:00-04:00,0,0,0,0,0
2019-12-27T00:00:00-04:00,0,0,0,0,0
2019-12-28T00:00:00-04:00,0,0,0,0,0
2019-12-29T00:00:00-04:00,0,0,0,0,0
2019-12-30T00:00:00-04:00,0,0,0,0,0
2019-12-31T00:00:00-04:00,0,0,0,0,0
2020-01-01T00:00:00-04:00,0,0,0,0,0
